,gt_label,gt_rank,gt_score,top1_label,top1_score,score_gap,image_path,difficulty,scale_score
65,9,0,32.79179763793945,9,32.79179763793945,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/366.jpg,soft,0.13891591200745784
69,9,0,31.23137664794922,9,31.23137664794922,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/426.jpg,soft,0.039256408545987526
77,9,0,32.362030029296875,9,32.362030029296875,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/202.jpg,soft,0.08086399322953278
84,9,0,33.645755767822266,9,33.645755767822266,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/486.jpg,soft,0.10331595245822334
85,9,0,34.03804397583008,9,34.03804397583008,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/513.jpg,soft,0.1315500027295421
91,9,0,32.17397689819336,9,32.17397689819336,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/118.jpg,soft,0.11592179788476487
92,9,1,31.78894805908203,4,32.17165756225586,0.3827095031738281,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/067.jpg,medium,0.13292327520194136
94,9,1,31.35531234741211,5,32.58338928222656,1.2280769348144531,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/361.jpg,hard,0.06514276741577421
95,9,0,33.45960998535156,9,33.45960998535156,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/591.jpg,soft,0.13468470268664445
97,9,1,30.483230590820312,4,31.987503051757812,1.5042724609375,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/443.jpg,hard,0.07785206255411653
99,9,1,30.94040298461914,14,31.13233757019043,0.19193458557128906,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/176.jpg,medium,0.12271335389008392
104,9,0,31.710037231445312,9,31.710037231445312,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/106.jpg,soft,0.05988709149442829
110,9,0,31.245418548583984,9,31.245418548583984,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/349.jpg,soft,0.07542822597515036
115,9,1,31.453996658325195,7,31.454923629760742,0.000926971435546875,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/006.jpg,medium,0.08493012232094253
123,9,0,30.85953140258789,9,30.85953140258789,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/672.jpg,soft,0.1086442536404678
125,9,0,31.781091690063477,9,31.781091690063477,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/683.jpg,soft,0.1278340520803583
127,9,1,30.73053550720215,4,31.70941162109375,0.9788761138916016,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/759.jpg,medium,0.05581154559915613
129,9,0,30.969139099121094,9,30.969139099121094,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/130.jpg,soft,0.05997736023822027
135,9,0,29.99127197265625,9,29.99127197265625,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/380.jpg,medium,0.08264166713251267
137,9,1,29.419370651245117,4,31.65903091430664,2.2396602630615234,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/558.jpg,hard,0.12486062097991019
140,9,0,31.308223724365234,9,31.308223724365234,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/629.jpg,soft,0.0698624052517503
141,9,0,32.38976287841797,9,32.38976287841797,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/002.jpg,soft,0.1123437800120478
145,9,0,32.123023986816406,9,32.123023986816406,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/190.jpg,soft,0.11265427163586059
146,9,5,31.479787826538086,14,32.72280502319336,1.2430171966552734,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/124.jpg,hard,0.0837826545109408
148,9,0,31.726320266723633,9,31.726320266723633,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/441.jpg,soft,0.07982925108415129
149,9,0,31.077411651611328,9,31.077411651611328,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/353.jpg,soft,0.0467375430896267
155,9,0,36.038211822509766,9,36.038211822509766,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/680.jpg,soft,0.11602625835248412
160,9,1,31.529666900634766,5,31.748910903930664,0.21924400329589844,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/601.jpg,medium,0.038618323708050795
161,9,0,32.34183120727539,9,32.34183120727539,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/188.jpg,soft,0.10790894478623275
164,9,1,31.6468505859375,4,31.720247268676758,0.07339668273925781,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/396.jpg,medium,0.0867657274482842
167,9,1,31.018184661865234,5,31.55145263671875,0.5332679748535156,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/620.jpg,medium,0.08385040909437068
172,9,0,33.555450439453125,9,33.555450439453125,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/230.jpg,soft,0.10993780849592863
175,9,1,30.997303009033203,4,31.489654541015625,0.4923515319824219,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/408.jpg,medium,0.0712037811290418
178,9,0,31.180055618286133,9,31.180055618286133,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/776.jpg,soft,0.0883212772350419
182,9,4,31.67743682861328,6,32.66127395629883,0.9838371276855469,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/362.jpg,hard,0.07355949929099606
183,9,1,32.29065704345703,4,33.374698638916016,1.0840415954589844,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/627.jpg,hard,0.08952200048029073
184,9,1,31.263978958129883,5,31.594297409057617,0.3303184509277344,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/538.jpg,medium,0.039794044880663
185,9,0,34.89531707763672,9,34.89531707763672,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/221.jpg,soft,0.10911533338628901
191,9,0,31.793668746948242,9,31.793668746948242,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/085.jpg,soft,0.11123243930222962
195,9,0,31.483604431152344,9,31.483604431152344,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/388.jpg,soft,0.06286203397256827
199,9,0,32.130462646484375,9,32.130462646484375,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/639.jpg,soft,0.09720885357928447
202,9,3,33.259578704833984,6,34.09762191772461,0.838043212890625,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/368.jpg,hard,0.1061803506404318
203,9,0,32.49919509887695,9,32.49919509887695,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/745.jpg,soft,0.08234461644467021
204,9,3,29.15596580505371,7,30.58784294128418,1.4318771362304688,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/738.jpg,hard,0.09805476206455327
205,9,0,32.6866340637207,9,32.6866340637207,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/506.jpg,soft,0.07362130248296025
206,9,0,34.457008361816406,9,34.457008361816406,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/192.jpg,soft,0.13820862786675675
207,9,2,30.18033790588379,14,31.350406646728516,1.1700687408447266,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/412.jpg,hard,0.10603320114894063
208,9,0,30.633642196655273,9,30.633642196655273,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/701.jpg,soft,0.048842049915981525
209,9,0,32.319583892822266,9,32.319583892822266,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/653.jpg,soft,0.09043263868473847
213,9,0,30.572345733642578,9,30.572345733642578,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/051.jpg,soft,0.13600950860006805
214,9,2,26.99883270263672,4,28.904762268066406,1.9059295654296875,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/651.jpg,hard,0.03918662392465497
218,9,0,32.961280822753906,9,32.961280822753906,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/397.jpg,soft,0.1232369038169457
220,9,0,34.14991760253906,9,34.14991760253906,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/018.jpg,soft,0.04522491805243188
226,9,0,30.684253692626953,9,30.684253692626953,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/177.jpg,soft,0.13736184274216587
230,9,0,32.188934326171875,9,32.188934326171875,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/358.jpg,soft,0.09524979816176696
235,9,0,34.58707809448242,9,34.58707809448242,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/117.jpg,soft,0.12203927407129617
236,9,0,34.39761734008789,9,34.39761734008789,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/721.jpg,soft,0.1087656835898144
237,9,0,31.983800888061523,9,31.983800888061523,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/684.jpg,soft,0.11801090698182384
242,9,0,31.706743240356445,9,31.706743240356445,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/410.jpg,soft,0.0777149709879929
244,9,0,31.64815902709961,9,31.64815902709961,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/535.jpg,soft,0.03559153582805168
248,9,1,31.157045364379883,7,31.55588150024414,0.3988361358642578,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/481.jpg,medium,0.07644469376300356
256,9,0,30.365732192993164,9,30.365732192993164,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/716.jpg,soft,0.07283237037800237
259,9,0,30.926021575927734,9,30.926021575927734,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/737.jpg,soft,0.1200133557578694
261,9,0,32.15389633178711,9,32.15389633178711,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/079.jpg,soft,0.12829119247902138
265,9,0,32.51697540283203,9,32.51697540283203,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/563.jpg,soft,0.051310982533323286
266,9,5,32.202720642089844,4,33.70486068725586,1.5021400451660156,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/719.jpg,hard,0.04598793240102505
269,9,2,31.982152938842773,14,33.953895568847656,1.9717426300048828,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/530.jpg,hard,0.11998884512175928
271,9,0,33.23276901245117,9,33.23276901245117,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/010.jpg,soft,0.13016096437951524
272,9,2,32.214786529541016,5,33.9554443359375,1.7406578063964844,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/196.jpg,hard,0.12970010242290253
280,9,0,30.722291946411133,9,30.722291946411133,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/415.jpg,soft,0.11187644624208248
285,9,0,33.29903793334961,9,33.29903793334961,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/042.jpg,soft,0.06697665477769585
286,9,0,33.46244812011719,9,33.46244812011719,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/179.jpg,soft,0.07266922669251513
289,9,0,33.59550476074219,9,33.59550476074219,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/087.jpg,soft,0.1379118775963288
294,9,0,33.7460823059082,9,33.7460823059082,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/727.jpg,soft,0.06621740772086829
302,9,0,30.68787384033203,9,30.68787384033203,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/017.jpg,soft,0.10118397044310626
309,9,2,28.40642547607422,7,30.78158187866211,2.3751564025878906,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/758.jpg,hard,0.13038484934595643
314,9,1,32.0178337097168,4,32.250240325927734,0.2324066162109375,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/541.jpg,medium,0.10334419933962138
315,9,0,30.332674026489258,9,30.332674026489258,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/659.jpg,soft,0.12155661573238508
316,9,0,29.86113739013672,9,29.86113739013672,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/548.jpg,medium,0.04146085955838409
317,9,0,32.126468658447266,9,32.126468658447266,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/434.jpg,soft,0.09809302627526623
319,9,0,31.2564640045166,9,31.2564640045166,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/699.jpg,soft,0.04012354740254341
320,9,0,34.18783950805664,9,34.18783950805664,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/225.jpg,soft,0.11633740508367371
322,9,0,31.262435913085938,9,31.262435913085938,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/765.jpg,soft,0.10839531616396259
329,9,0,32.42874526977539,9,32.42874526977539,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/430.jpg,soft,0.13299987472523048
333,9,0,30.756046295166016,9,30.756046295166016,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/770.jpg,soft,0.08493769450535375
335,9,1,31.53569984436035,4,31.954071044921875,0.41837120056152344,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/005.jpg,medium,0.056541811608481415
339,9,0,34.76782989501953,9,34.76782989501953,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/645.jpg,soft,0.07723818059489393
341,9,0,34.1419792175293,9,34.1419792175293,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/573.jpg,soft,0.06474508185860753
342,9,0,32.367767333984375,9,32.367767333984375,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/691.jpg,soft,0.1380662465511394
343,9,2,33.26846694946289,5,34.55331802368164,1.28485107421875,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/677.jpg,hard,0.0691948844061227
347,9,1,31.789012908935547,4,32.037315368652344,0.24830245971679688,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/171.jpg,medium,0.1300676322166288
351,9,0,31.528297424316406,9,31.528297424316406,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/498.jpg,soft,0.10233239486683796
362,9,0,33.70085144042969,9,33.70085144042969,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/357.jpg,soft,0.09178610214987304
366,9,0,32.44929122924805,9,32.44929122924805,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/700.jpg,soft,0.10424751698153167
367,9,1,30.308162689208984,7,30.582632064819336,0.27446937561035156,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/750.jpg,medium,0.09873464347767003
370,9,0,32.492698669433594,9,32.492698669433594,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/554.jpg,soft,0.12796169929568732
377,9,4,29.62687873840332,0,30.93174934387207,1.30487060546875,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/687.jpg,hard,0.052628541049938395
381,9,3,31.442975997924805,0,32.226280212402344,0.7833042144775391,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/730.jpg,hard,0.1387329852627957
383,9,0,34.0440788269043,9,34.0440788269043,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/748.jpg,soft,0.08605156606671518
384,9,1,28.239824295043945,7,28.493501663208008,0.2536773681640625,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/532.jpg,medium,0.1315511588750709
387,9,0,31.72138786315918,9,31.72138786315918,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/555.jpg,soft,0.04174632692450331
390,9,1,31.82520294189453,6,31.905080795288086,0.07987785339355469,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/656.jpg,medium,0.06684501567029326
391,9,0,30.656137466430664,9,30.656137466430664,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/421.jpg,soft,0.13116388821170466
394,9,0,32.25141525268555,9,32.25141525268555,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/194.jpg,soft,0.11609530873187933
396,9,2,31.103923797607422,7,32.36865997314453,1.2647361755371094,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/095.jpg,hard,0.13238146478730534
397,9,0,33.4263801574707,9,33.4263801574707,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/180.jpg,soft,0.1320607796987805
398,9,0,34.02830505371094,9,34.02830505371094,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/104.jpg,soft,0.08532326653208472
404,9,0,32.44983673095703,9,32.44983673095703,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/352.jpg,soft,0.02822771855789815
405,9,0,32.41438674926758,9,32.41438674926758,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/090.jpg,soft,0.11079586764486751
407,9,0,31.715911865234375,9,31.715911865234375,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/093.jpg,soft,0.10142254391320149
412,9,0,32.27802658081055,9,32.27802658081055,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/039.jpg,soft,0.06548688618009851
415,9,0,33.45486068725586,9,33.45486068725586,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/702.jpg,soft,0.0999721371016612
416,9,0,30.6672306060791,9,30.6672306060791,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/450.jpg,soft,0.11943549685813831
417,9,0,31.70595359802246,9,31.70595359802246,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/775.jpg,soft,0.11567289602808327
420,9,0,32.26329040527344,9,32.26329040527344,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/587.jpg,soft,0.08475619743025413
426,9,0,30.67387580871582,9,30.67387580871582,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/586.jpg,soft,0.11395645197548639
428,9,1,31.421443939208984,7,31.526811599731445,0.10536766052246094,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/744.jpg,medium,0.10589735703123662
429,9,1,32.40520095825195,14,33.129940032958984,0.7247390747070312,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/195.jpg,medium,0.10975698716875368
430,9,0,31.2686767578125,9,31.2686767578125,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/756.jpg,soft,0.11333832955512549
432,9,0,32.69709396362305,9,32.69709396362305,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/071.jpg,soft,0.12029322676848327
438,9,1,30.437204360961914,14,30.834373474121094,0.3971691131591797,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/406.jpg,medium,0.11849303467127759
442,9,0,31.992918014526367,9,31.992918014526367,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/799.jpg,soft,0.0971003206398119
443,9,0,33.795318603515625,9,33.795318603515625,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/650.jpg,soft,0.10709257513773296
445,9,0,31.751523971557617,9,31.751523971557617,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/582.jpg,soft,0.1262372307353162
446,9,1,31.7696475982666,14,31.808488845825195,0.03884124755859375,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/207.jpg,medium,0.13127546128421744
448,9,0,31.820837020874023,9,31.820837020874023,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/598.jpg,soft,0.12073853546669022
449,9,3,31.743404388427734,5,32.66031265258789,0.9169082641601562,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/100.jpg,hard,0.09396881181380394
450,9,0,32.113525390625,9,32.113525390625,0.0,/kaggle/input/datasets/ankit1743/skyview-an-aerial-landscape-dataset/Aerial_Landscapes/Mountain/376.jpg,soft,0.12249120817484813
